========================================
📊 ESTATÍSTICAS DA MEMÓRIA
========================================
14 Pts:   39 |  (  0.29%)
13 Pts:  361 |  (  2.65%)
12 Pts: 2503 | ███ ( 18.40%)
11 Pts: 10698 | ███████████████ ( 78.66%)
----------------------------------------
Total de jogos memorizados: 13601
========================================

🏆 LISTA DETALHADA DE JOGOS
----------------------------------------
14 pontos | [5, 6, 8, 10, 11, 12, 14, 15, 16, 17, 20, 21, 22, 23, 25]
14 pontos | [1, 4, 6, 7, 8, 9, 15, 17, 18, 20, 21, 22, 23, 24, 25]
14 pontos | [1, 2, 8, 10, 11, 13, 14, 15, 18, 20, 21, 22, 23, 24, 25]
14 pontos | [1, 2, 5, 6, 9, 10, 11, 12, 13, 15, 17, 18, 21, 24, 25]
14 pontos | [1, 2, 3, 5, 6, 7, 9, 10, 12, 17, 18, 19, 20, 22, 23]
14 pontos | [1, 3, 6, 9, 10, 12, 13, 14, 17, 18, 19, 20, 21, 23, 25]
14 pontos | [3, 4, 5, 6, 8, 9, 10, 13, 14, 17, 18, 19, 21, 22, 24]
14 pontos | [5, 6, 7, 9, 10, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25]
14 pontos | [1, 5, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25]
14 pontos | [1, 3, 5, 6, 7, 8, 10, 12, 15, 16, 17, 18, 22, 23, 25]
14 pontos | [1, 2, 3, 5, 6, 8, 10, 12, 13, 14, 15, 20, 23, 24, 25]
14 pontos | [1, 2, 3, 5, 7, 8, 10, 11, 12, 13, 14, 17, 23, 24, 25]
14 pontos | [1, 4, 5, 7, 8, 11, 12, 13, 14, 18, 20, 21, 22, 24, 25]
14 pontos | [1, 3, 5, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24]
14 pontos | [1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 23, 25]
14 pontos | [1, 2, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24]
14 pontos | [1, 3, 4, 5, 8, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 24, 25]
14 pontos | [1, 3, 5, 6, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25]
14 pontos | [1, 2, 3, 4, 8, 9, 10, 11, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24]
14 pontos | [1, 2, 3, 6, 7, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 24, 25]
14 pontos | [1, 2, 3, 4, 5, 6, 7, 9, 12, 14, 17, 18, 19, 20, 21, 23, 24, 25]
14 pontos | [1, 2, 3, 5, 6, 8, 9, 12, 13, 14, 17, 19, 20, 21, 22, 23, 24, 25]
14 pontos | [1, 2, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25]
14 pontos | [1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 16, 17, 18, 21, 22, 23, 25]
14 pontos | [2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 23, 24, 25]
14 pontos | [2, 3, 5, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 25]
14 pontos | [1, 2, 3, 5, 7, 9, 10, 11, 12, 14, 15, 18, 19, 20, 22, 23, 24, 25]
14 pontos | [3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 23, 24, 25]
14 pontos | [1, 3, 5, 6, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 22, 23, 24, 25]
14 pontos | [1, 2, 3, 5, 6, 8, 9, 10, 12, 14, 15, 17, 18, 20, 21, 23, 24, 25]
14 pontos | [1, 2, 4, 5, 6, 8, 9, 11, 13, 14, 16, 17, 18, 19, 20, 22, 24, 25]
14 pontos | [1, 2, 3, 4, 5, 6, 9, 10, 13, 14, 16, 17, 19, 20, 21, 22, 23, 25]
14 pontos | [4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24]
14 pontos | [5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 23, 24, 25]
14 pontos | [1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24, 25]
14 pontos | [2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 15, 17, 18, 19, 20, 23, 24, 25]
14 pontos | [1, 2, 3, 4, 5, 6, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23, 24]
14 pontos | [2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 17, 18, 19, 21, 22, 24, 25]
14 pontos | [1, 2, 3, 4, 5, 7, 10, 11, 13, 14, 15, 16, 18, 20, 22, 23, 24, 25]
13 pontos | [1, 5, 6, 7, 9, 10, 13, 14, 16, 17, 18, 19, 20, 24, 25]
13 pontos | [1, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 21, 22, 23, 25]
13 pontos | [3, 4, 9, 10, 11, 12, 13, 14, 15, 18, 19, 21, 22, 24, 25]
13 pontos | [1, 5, 6, 7, 8, 9, 10, 12, 14, 16, 17, 18, 19, 21, 23]
13 pontos | [1, 3, 5, 6, 9, 10, 11, 12, 15, 17, 19, 21, 22, 24, 25]
13 pontos | [2, 6, 7, 10, 11, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25]
13 pontos | [1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 19, 20, 21, 23, 25]
13 pontos | [1, 3, 4, 7, 8, 11, 12, 13, 14, 17, 19, 21, 22, 23, 25]
